,main_image,1_image,1_image_score,2_image,2_image_score,3_image,3_image_score
0,image_1079,image_0626,2562,image_0228,2803,image_0057,2949
1,image_0772,image_0937,1801,image_0910,1803,image_1031,1986
2,image_1307,image_1282,2481,image_0136,2545,image_0801,2594
3,image_0127,image_1166,598,image_0591,741,image_0200,864
4,image_0479,image_0944,1332,image_0246,1710,image_0016,1751
5,image_1250,image_1239,1504,image_0845,1547,image_0591,1631
6,image_0948,image_0894,294,image_0591,328,image_0845,452
7,image_0964,image_1098,501,image_1184,828,image_0566,845
8,image_0953,image_0050,2370,image_0136,2466,image_0603,2480
9,image_0151,image_0123,10,image_0626,1335,image_0633,1591
10,image_0973,image_0059,1674,image_0050,2216,image_0797,3372
11,image_0724,image_1187,2578,image_0557,3078,image_1014,3975
12,image_1196,image_0257,1162,image_0200,1296,image_0591,1433
13,image_0386,image_0612,1016,image_0333,1039,image_0316,1057
14,image_0692,image_1354,787,image_0257,951,image_1188,985
15,image_0832,image_0853,0,image_0363,1378,image_0457,1404
16,image_0603,image_0611,167,image_0257,2613,image_0688,2685
17,image_1261,image_1212,1107,image_0175,1693,image_1276,1723
18,image_0163,image_0466,949,image_0557,1287,image_1303,1890
19,image_0807,image_0557,1633,image_0099,2641,image_0257,3130
20,image_0894,image_0948,99,image_0591,320,image_1013,367
21,image_1227,image_1339,1803,image_0234,1965,image_0566,2121
22,image_1046,image_0230,2182,image_0101,2368,image_1259,2437
23,image_0100,image_0090,10,image_0036,1260,image_0246,1334
24,image_0502,image_1183,1116,image_1006,1468,image_1166,1557
25,image_1095,image_0621,2125,image_0637,2143,image_1090,2208
26,image_0268,image_0257,2369,image_0466,2386,image_0737,2429
27,image_0261,image_0316,673,image_0084,692,image_0246,789
28,image_0316,image_1135,309,image_0591,331,image_0566,557
29,image_1257,image_0345,1060,image_0363,1174,image_0111,1199
30,image_0688,image_0668,486,image_0581,834,image_1188,1022
31,image_1238,image_0186,1504,image_0557,1569,image_1181,1598
32,image_0534,image_0207,1033,image_0142,1136,image_0097,1148
33,image_0303,image_1303,1631,image_0363,2332,image_0457,2371
34,image_1111,image_1354,2114,image_1118,3138,image_1044,3949
35,image_1317,image_0133,3172,image_0257,3402,image_0219,4348
36,image_0737,image_0022,1029,image_0591,1187,image_0257,1518
37,image_1204,image_1339,1528,image_1236,1546,image_0852,1555
38,image_0247,image_0193,998,image_1153,998,image_1144,998
39,image_0962,image_1002,0,image_1129,503,image_1006,776
40,image_0646,image_0679,90,image_0653,2524,image_0650,2563
41,image_0429,image_0460,0,image_0466,4373,image_0404,4586
42,image_0131,image_0181,1069,image_0875,1122,image_0097,1227
43,image_0758,image_0592,978,image_0965,1045,image_1196,1211
